number,group,toxicant,time,Casp7,Chek,Gclc,Gstm1,Gstp1,Gstt1,Hmox,Nfe2l2,Nqo1,Ripk,Sod1,AST,ALT,LDG,AP,TG,HST,protein,MA
26,Geptor,EtOH,72h,-1.548,.398333333,-.225,-.981428571,-1.21,-1.542857143,-1.015714286,-.655714286,2.135714286,-1.407142857,-1.91,136.2,33.4,993.9,317.3,.81,1.67,52.6,134.4
27,Geptor,EtOH,72h,-.168,-.341666667,-.125,-.921428571,-1.35,-1.832857143,-2.245714286,-.445714286,.055714286,-1.527142857,.2,138.1,22,1442,320.9,.66,1.83,59.4,139.4
28,Geptor,EtOH,72h,.532,-.501666667,-.275,-.451428571,-1.5,-1.412857143,-1.565714286,-.435714286,.595714286,-.707142857,-2.65,161.6,17,1371,345.4,.64,1.48,68.5,194.1
1,K-,APAP,24h,-.331666667,-.232857143,.188571429,-.358571429,.535714286,.028571429,.258571429,-.1,.028571429,.181428571,-.258571429,175.6,61.9,2228,268.7,.83,2.37,73.7,142.7
2,K-,APAP,24h,-.02,-.922857143,.088571429,.341428571,.755714286,.208571429,-.291428571,.59,.958571429,.021428571,.611428571,282,46.7,3060,247.5,.83,2.16,73.3,131.3
3,K-,APAP,24h,-.281666667,1.427142857,.988571429,-.038571429,.845714286,-.131428571,-.331428571,.52,-.851428571,.351428571,.441428571,184.4,50.3,2807,418.8,.93,2.87,73.6,121.8
4,K-,APAP,24h,.338333333,-.672857143,-1.081428571,-1.018571429,-2.354285714,.038571429,.578571429,-.23,-.011428571,-.848571429,.451428571,190.4,41.2,1557,274.1,1.03,1.34,74.1,125.8
5,K-,APAP,24h,.138333333,-.672857143,-.011428571,-1.658571429,-.744285714,-.411428571,-.801428571,-.56,-.851428571,-.258571429,-.458571429,248.1,50.8,2147,290,1,2.27,69.2,131
6,K-,APAP,24h,-.021666667,.677142857,.558571429,1.101428571,-.104285714,.418571429,.458571429,.03,.798571429,.561428571,-.208571429,241.9,55.6,1988,280.1,1.03,1.62,71.5,137.5
1,K-,APAP,72h,.071428571,-.82,-.387142857,.045714286,-.085714286,.161428571,.258571429,-.884285714,-1.742857143,-.047142857,.002857143,187.2,59.6,2095,305,.97,1.81,71.3,110.3
2,K-,APAP,72h,.091428571,-.65,-1.347142857,.325714286,.864285714,.281428571,-.291428571,-.594285714,.377142857,-.767142857,.162857143,140.7,38.6,1988,246.1,1.12,1.57,67.4,105.7
